Country,Year,IT_power_MW,Annual_GWh_equivalent,National_annual_consumption_GWh,Denominator_source,Exposure_pct,Excluded_countries
United Kingdom,2024,1660,14541.6,280983.1,"IEA (current data, last 12 months)",5.18,
United Kingdom,2025,1772,15522.7,280983.1,"IEA (current data, last 12 months)",5.52,
United Kingdom,2026,1930,16906.8,280983.1,"IEA (current data, last 12 months)",6.02,
United Kingdom,2028,2292,20077.9,280983.1,"IEA (current data, last 12 months)",7.15,
United Kingdom,2030,2770,24265.2,280983.1,"IEA (current data, last 12 months)",8.64,
Germany,2024,1458,12772.1,481499.5,"IEA (current data, last 12 months)",2.65,
Germany,2025,1737,15216.1,481499.5,"IEA (current data, last 12 months)",3.16,
Germany,2026,2167,18982.9,481499.5,"IEA (current data, last 12 months)",3.94,
Germany,2028,3091,27077.2,555000.0,ENTSO-E ERAA 2025 (projection for this year),4.88,
Germany,2030,3892,34093.9,604000.0,ENTSO-E ERAA 2025 (projection for this year),5.64,
Netherlands,2024,915,8015.4,113916.7,"IEA (current data, last 12 months)",7.04,
Netherlands,2025,951,8330.8,113916.7,"IEA (current data, last 12 months)",7.31,
Netherlands,2026,1086,9513.4,113916.7,"IEA (current data, last 12 months)",8.35,
Netherlands,2028,1380,12088.8,157000.0,ENTSO-E ERAA 2025 (projection for this year),7.7,
Netherlands,2030,1717,15040.9,180000.0,ENTSO-E ERAA 2025 (projection for this year),8.36,
France,2024,760,6657.6,423434.8,"IEA (current data, last 12 months)",1.57,
France,2025,813,7121.9,423434.8,"IEA (current data, last 12 months)",1.68,
France,2026,874,7656.2,423434.8,"IEA (current data, last 12 months)",1.81,
France,2028,1082,9478.3,500000.0,ENTSO-E ERAA 2025 (projection for this year),1.9,
France,2030,1308,11458.1,516000.0,ENTSO-E ERAA 2025 (projection for this year),2.22,
Ireland,2024,485,4248.6,34777.4,"IEA (current data, last 12 months)",12.22,
Ireland,2025,543,4756.7,34777.4,"IEA (current data, last 12 months)",13.68,
Ireland,2026,569,4984.4,34777.4,"IEA (current data, last 12 months)",14.33,
Ireland,2028,695,6088.2,42000.0,ENTSO-E ERAA 2025 (projection for this year),14.5,
Ireland,2030,903,7910.3,45000.0,ENTSO-E ERAA 2025 (projection for this year),17.58,
Norway,2024,352,3083.5,133139.0,"IEA (current data, last 12 months)",2.32,
Norway,2025,451,3950.8,133139.0,"IEA (current data, last 12 months)",2.97,
Norway,2026,495,4336.2,133139.0,"IEA (current data, last 12 months)",3.26,
Norway,2028,943,8260.7,133139.0,"IEA (current data, last 12 months)",6.2,
Norway,2030,1408,12334.1,133139.0,"IEA (current data, last 12 months)",9.26,
Italy,2024,267,2338.9,293489.7,"IEA (current data, last 12 months)",0.8,
Italy,2025,363,3179.9,293489.7,"IEA (current data, last 12 months)",1.08,
Italy,2026,577,5054.5,293489.7,"IEA (current data, last 12 months)",1.72,
Italy,2028,1079,9452.0,333000.0,ENTSO-E ERAA 2025 (projection for this year),2.84,
Italy,2030,1568,13735.7,352000.0,ENTSO-E ERAA 2025 (projection for this year),3.9,
Switzerland,2024,243,2128.7,58491.9,"IEA (current data, last 12 months)",3.64,
Switzerland,2025,274,2400.2,58491.9,"IEA (current data, last 12 months)",4.1,
Switzerland,2026,302,2645.5,58491.9,"IEA (current data, last 12 months)",4.52,
Switzerland,2028,380,3328.8,58491.9,"IEA (current data, last 12 months)",5.69,
Switzerland,2030,433,3793.1,58491.9,"IEA (current data, last 12 months)",6.48,
Spain,2024,240,2102.4,247926.2,"IEA (current data, last 12 months)",0.85,
Spain,2025,286,2505.4,247926.2,"IEA (current data, last 12 months)",1.01,
Spain,2026,428,3749.3,247926.2,"IEA (current data, last 12 months)",1.51,
Spain,2028,801,7016.8,274000.0,ENTSO-E ERAA 2025 (projection for this year),2.56,
Spain,2030,1693,14830.7,291000.0,ENTSO-E ERAA 2025 (projection for this year),5.1,
Poland,2024,197,1725.7,161418.5,"IEA (current data, last 12 months)",1.07,
Poland,2025,228,1997.3,161418.5,"IEA (current data, last 12 months)",1.24,
Poland,2026,291,2549.2,161418.5,"IEA (current data, last 12 months)",1.58,
Poland,2028,365,3197.4,170000.0,ENTSO-E ERAA 2025 (projection for this year),1.88,
Poland,2030,466,4082.2,178000.0,ENTSO-E ERAA 2025 (projection for this year),2.29,
Iceland (EEA),2024,190,1664.4,18015.2,"IEA (current data, last 12 months)",9.24,
Iceland (EEA),2025,226,1979.8,18015.2,"IEA (current data, last 12 months)",10.99,
Iceland (EEA),2026,242,2119.9,18015.2,"IEA (current data, last 12 months)",11.77,
Iceland (EEA),2028,333,2917.1,18015.2,"IEA (current data, last 12 months)",16.19,
Iceland (EEA),2030,413,3617.9,18015.2,"IEA (current data, last 12 months)",20.08,
Sweden,2024,157,1375.3,127439.1,"IEA (current data, last 12 months)",1.08,
Sweden,2025,198,1734.5,127439.1,"IEA (current data, last 12 months)",1.36,
Sweden,2026,246,2155.0,127439.1,"IEA (current data, last 12 months)",1.69,
Sweden,2028,493,4318.7,155000.0,ENTSO-E ERAA 2025 (projection for this year),2.79,
Sweden,2030,790,6920.4,163000.0,ENTSO-E ERAA 2025 (projection for this year),4.25,
Finland,2024,115,1007.4,84677.7,"IEA (current data, last 12 months)",1.19,
Finland,2025,167,1462.9,84677.7,"IEA (current data, last 12 months)",1.73,
Finland,2026,208,1822.1,84677.7,"IEA (current data, last 12 months)",2.15,
Finland,2028,379,3320.0,93000.0,ENTSO-E ERAA 2025 (projection for this year),3.57,
