Country,Year,Cloud_pct,Cloud_filled,AI_pct,AI_filled,Turnover_MEUR,Turnover_filled,KPI_level,KPI_label
Albania,2014,,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2015,,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2016,,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2017,,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2018,,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2020,,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2021,20.11,False,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2022,23.5,True,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2023,26.89,True,,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2024,30.29,True,11.26,False,,False,,N/A (not enough data even for a partial estimate)
Albania,2025,33.68,False,38.36,False,,False,,N/A (not enough data even for a partial estimate)
Austria,2014,11.67,False,,False,,False,3.0,High
Austria,2015,14.36,True,,False,,False,3.0,High
Austria,2016,17.05,False,,False,,False,3.0,High
Austria,2017,21.03,False,,False,,False,3.0,High
Austria,2018,23.27,False,,False,,False,3.0,High
Austria,2020,38.13,False,,False,,False,3.0,High
Austria,2021,40.4,False,8.93,False,4194.5,False,3.0,High
Austria,2022,43.44,True,12.21,True,4298.4,False,3.0,High
Austria,2023,46.48,False,15.5,False,4394.8,False,3.0,High
Austria,2024,49.28,True,43.05,False,6981.9,False,3.0,High
Austria,2025,52.08,False,41.59,False,,False,3.0,High
Belgium,2014,21.24,False,,False,,False,2.0,Medium
Belgium,2015,24.62,False,,False,,False,2.0,Medium
Belgium,2016,28.46,False,,False,,False,2.0,Medium
Belgium,2017,39.59,False,,False,,False,2.0,Medium
Belgium,2018,40.25,False,,False,,False,2.0,Medium
Belgium,2020,53.23,False,,False,,False,2.0,Medium
Belgium,2021,52.96,False,7.79,False,2250.8,False,2.0,Medium
Belgium,2022,52.33,True,8.59,True,3067.3,False,2.0,Medium
Belgium,2023,51.69,False,9.38,False,3045.2,False,2.0,Medium
