Country,Month,Years_ago,Recency_weight,Combined_weight_recency_severity,Consumption_GWh,Residual_GWh,Residual_pct_trend,Anomaly_score
Belgium,2012-02,14.25,0.1387,1.1416,7772.3,572.4,8.23,-0.2965
Belgium,2020-04,6.08,0.4303,3.8175,5970.0,-604.1,-8.87,-0.2827
Belgium,2010-12,15.42,0.118,0.8457,8183.1,512.4,7.17,-0.2257
Belgium,2022-11,3.5,0.6156,3.673,6379.7,-392.1,-5.97,-0.174
Belgium,2013-03,13.17,0.1612,0.8452,7790.8,368.2,5.24,-0.1552
Belgium,2020-05,6.0,0.4353,1.5901,6263.0,-248.2,-3.65,-0.1405
Belgium,2011-01,15.33,0.1194,0.1676,7978.0,-100.3,-1.4,-0.1369
Belgium,2012-03,14.17,0.1403,0.1277,7412.1,63.2,0.91,-0.1037
Belgium,2024-01,2.33,0.7236,2.4642,7577.1,218.8,3.41,-0.076
Belgium,2022-10,3.58,0.6085,2.7437,6311.8,-296.5,-4.51,-0.0735
Belgium,2025-01,1.33,0.8312,3.6048,7987.1,293.2,4.34,-0.0728
Belgium,2023-04,3.08,0.6522,2.7418,6467.5,270.4,4.2,-0.0477
Belgium,2025-10,0.58,0.9223,3.6271,6452.2,-262.8,-3.93,-0.033
Belgium,2015-12,10.42,0.236,0.997,7134.4,-291.7,-4.22,-0.0329
Belgium,2018-04,8.08,0.3261,0.7861,6646.6,-170.0,-2.41,-0.0302
Belgium,2025-03,1.17,0.8507,2.9872,6943.6,-238.1,-3.51,-0.0293
Belgium,2022-12,3.42,0.6227,1.5885,6912.4,-167.3,-2.55,-0.0276
Belgium,2023-10,2.58,0.699,2.847,6208.8,-262.3,-4.07,-0.0173
Belgium,2013-04,13.08,0.163,0.3113,6921.7,134.1,1.91,-0.0151
Belgium,2017-02,9.25,0.2774,0.7867,7004.7,-197.3,-2.84,-0.0111
Belgium,2018-01,8.33,0.315,1.0065,7727.2,-224.2,-3.2,-0.0085
Belgium,2025-12,0.42,0.9439,3.8629,6964.7,-274.9,-4.09,-0.0072
Belgium,2021-04,5.08,0.4943,1.6129,6921.8,226.2,3.26,-0.0055
Bulgaria,2025-02,1.25,0.8409,11.0058,3371.7,360.1,13.09,-0.2429
Bulgaria,2022-03,4.17,0.5612,6.3095,3147.4,296.9,11.24,-0.2074
Bulgaria,2025-03,1.17,0.8507,5.3885,2784.5,-174.2,-6.33,-0.1999
Bulgaria,2018-04,8.08,0.3261,2.6736,2173.8,-212.0,-8.2,-0.1788
Bulgaria,2017-01,9.33,0.2742,2.8953,3566.7,275.6,10.56,-0.1538
Bulgaria,2024-11,1.5,0.8123,6.6663,3041.2,225.4,8.21,-0.1223
Bulgaria,2019-03,7.17,0.3703,2.8531,2647.1,-203.5,-7.71,-0.1172
Bulgaria,2021-04,5.08,0.4943,3.4741,2611.4,184.6,7.03,-0.0743
Bulgaria,2021-03,5.17,0.4886,3.5537,3018.2,190.5,7.27,-0.0657
Bulgaria,2025-10,0.58,0.9223,5.3888,2780.3,162.4,5.84,-0.0581
Bulgaria,2016-02,10.25,0.2415,1.4722,2568.6,-149.9,-6.1,-0.0574
Bulgaria,2022-04,4.08,0.5678,0.6156,2462.7,28.6,1.08,-0.051
Bulgaria,2023-01,3.33,0.63,4.2794,3082.6,-175.0,-6.79,-0.0483
Bulgaria,2018-12,7.42,0.3577,2.4954,3274.6,183.8,6.98,-0.0355
Bulgaria,2023-02,3.25,0.6373,2.8201,2948.6,113.9,4.43,-0.0355
Bulgaria,2017-02,9.25,0.2774,0.0925,2882.9,8.7,0.33,-0.0336
Bulgaria,2023-04,3.08,0.6522,4.0332,2539.4,159.6,6.18,-0.0289
Bulgaria,2024-02,2.25,0.732,2.8048,2765.0,-99.8,-3.83,-0.0287
Bulgaria,2017-03,9.17,0.2806,1.7114,2669.3,-159.8,-6.1,-0.0246
Bulgaria,2024-01,2.33,0.7236,4.0551,3416.7,145.2,5.6,-0.0204
Bulgaria,2015-12,10.42,0.236,1.3428,2761.8,-139.1,-5.69,-0.0182
Bulgaria,2016-01,10.33,0.2387,1.0855,3247.3,111.6,4.55,-0.0143
Bulgaria,2024-12,1.42,0.8217,2.1,3284.1,70.5,2.56,-0.0126
Bulgaria,2015-11,10.5,0.2333,1.2095,2388.8,-126.9,-5.19,-0.011
Bulgaria,2021-05,5.0,0.5,1.2003,2245.3,-63.2,-2.4,-0.0032
Bulgaria,2021-01,5.33,0.4774,2.9125,3110.3,-157.8,-6.1,-0.0001
Czech Republic,2012-02,14.25,0.1387,1.5661,5723.4,545.8,11.29,-0.3038
Czech Republic,2020-04,6.08,0.4303,3.8,4321.4,-435.4,-8.83,-0.2811
Czech Republic,2010-12,15.42,0.118,1.0423,5728.5,426.5,8.83,-0.2388
Czech Republic,2012-03,14.17,0.1403,0.444,5136.9,-152.9,-3.16,-0.1633
Czech Republic,2018-03,8.17,0.3223,2.165,5912.8,343.4,6.72,-0.1361
Czech Republic,2020-05,6.0,0.4353,2.1928,4400.1,-248.3,-5.04,-0.1312
Czech Republic,2017-01,9.33,0.2742,1.7458,6225.1,321.8,6.37,-0.1271
Czech Republic,2015-12,10.42,0.236,1.3197,5114.6,-274.9,-5.59,-0.1214
Czech Republic,2014-07,11.83,0.1939,1.0899,4485.9,269.3,5.62,-0.1119
Czech Republic,2018-04,8.08,0.3261,1.1575,4758.1,-181.5,-3.55,-0.1052
Czech Republic,2022-10,3.58,0.6085,3.0307,4739.6,-246.1,-4.98,-0.0916
Czech Republic,2011-01,15.33,0.1194,0.1851,5602.7,-74.9,-1.55,-0.0817
Czech Republic,2024-01,2.33,0.7236,3.5604,5804.4,232.4,4.92,-0.072
Czech Republic,2014-03,12.17,0.1851,0.89,5016.4,-230.2,-4.81,-0.0679
Czech Republic,2013-03,13.17,0.1612,0.6117,5443.8,182.3,3.8,-0.0466
Czech Republic,2017-02,9.25,0.2774,0.4982,5313.0,-90.9,-1.8,-0.0244
Czech Republic,2023-09,2.67,0.691,2.7963,4160.7,-194.4,-4.05,-0.0115
Czech Republic,2022-03,4.17,0.5612,1.2352,5665.2,112.1,2.2,-0.0075
Czech Republic,2023-01,3.33,0.63,2.3551,5543.6,-182.4,-3.74,-0.0039
Czech Republic,2024-03,2.17,0.7405,3.1341,4979.4,-199.8,-4.23,-0.0013
Denmark,2020-12,5.42,0.4719,6.0769,2700.9,-353.7,-12.88,-0.305
Denmark,2021-01,5.33,0.4774,2.3524,3349.7,136.0,4.93,-0.205
Denmark,2010-12,15.42,0.118,1.0707,3284.7,247.7,9.08,-0.1928
Denmark,2012-01,14.33,0.1371,1.1137,2944.5,-220.2,-8.12,-0.181
Denmark,2011-01,15.33,0.1194,0.4804,3074.2,-109.9,-4.02,-0.1429
Denmark,2025-01,1.33,0.8312,6.2507,3769.2,231.9,7.52,-0.1219
Denmark,2022-10,3.58,0.6085,4.0626,2603.6,-184.4,-6.68,-0.1188
Denmark,2021-02,5.25,0.483,3.7414,3116.7,214.5,7.75,-0.1088
Denmark,2023-03,3.17,0.6447,4.0719,3134.1,173.1,6.32,-0.1034
Denmark,2023-12,2.42,0.7153,5.4181,3472.8,222.8,7.57,-0.1012
Denmark,2024-01,2.33,0.7236,4.4377,3587.1,181.0,6.13,-0.0865
Denmark,2020-02,6.25,0.4204,2.653,3081.3,175.0,6.31,-0.0626
Denmark,2014-02,12.25,0.183,0.9981,2634.8,-144.3,-5.45,-0.0611
Denmark,2021-03,5.17,0.4886,2.2702,3125.2,129.0,4.65,-0.0359
Denmark,2011-04,15.08,0.1236,0.6545,2492.4,-145.8,-5.3,-0.0316
Denmark,2011-09,14.67,0.1309,0.7823,2658.8,162.1,5.98,-0.0305
Denmark,2024-04,2.08,0.7492,3.0324,2983.8,120.5,4.05,-0.0304
Denmark,2024-05,2.0,0.7579,2.6636,2723.3,-105.0,-3.51,-0.0289
Denmark,2025-02,1.25,0.8409,2.9964,3345.4,110.5,3.56,-0.0267
Denmark,2012-02,14.25,0.1387,0.1101,2819.7,-21.5,-0.79,-0.0251
Denmark,2020-09,5.67,0.4559,2.1267,2364.8,-126.3,-4.67,-0.0202
Denmark,2011-08,14.75,0.1294,0.7322,2677.3,153.7,5.66,-0.0126
Denmark,2021-12,4.42,0.5421,2.8301,3335.0,150.2,5.22,-0.0119
Denmark,2021-04,5.08,0.4943,2.5324,2814.6,142.8,5.12,-0.0002
Germany,2010-12,15.42,0.118,0.9537,51016.9,3680.8,8.08,-0.2605
Germany,2012-02,14.25,0.1387,1.1839,50063.1,3861.1,8.54,-0.2566
Germany,2017-01,9.33,0.2742,1.9428,44851.5,-3117.0,-7.09,-0.2452
Germany,2020-04,6.08,0.4303,2.9884,36447.5,-2842.2,-6.95,-0.2015
Germany,2022-11,3.5,0.6156,3.5539,39649.0,-2317.7,-5.77,-0.1475
Germany,2012-03,14.17,0.1403,0.1447,47311.4,-466.2,-1.03,-0.1394
Germany,2020-05,6.0,0.4353,2.2187,36879.2,-2087.1,-5.1,-0.116
Germany,2011-01,15.33,0.1194,0.1743,50144.7,664.4,1.46,-0.1108
Germany,2013-01,13.33,0.1575,0.6768,50622.9,1922.0,4.3,-0.1078
Germany,2018-08,7.75,0.3415,1.586,43633.2,2018.8,4.64,-0.1032
Germany,2022-12,3.42,0.6227,3.0963,39793.7,-1988.0,-4.97,-0.0873
Germany,2011-06,14.92,0.1265,0.5109,40682.4,-1831.3,-4.04,-0.0781
Germany,2013-08,12.75,0.1708,0.7583,40825.0,-1983.6,-4.44,-0.0668
Germany,2014-01,12.33,0.1809,0.7689,49711.7,1864.7,4.25,-0.0592
Germany,2017-02,9.25,0.2774,0.6307,43963.8,-1000.4,-2.27,-0.0588
Germany,2015-10,10.58,0.2306,0.9252,46371.7,1764.0,4.01,-0.0535
Germany,2022-10,3.58,0.6085,2.5574,39247.1,-1693.6,-4.2,-0.0321
Germany,2016-06,9.92,0.2529,0.8327,42742.0,1452.0,3.29,-0.0285
Germany,2019-05,7.0,0.3789,1.4548,42224.6,1634.4,3.84,-0.0278
Germany,2016-07,9.83,0.2558,0.6206,41800.4,-1071.3,-2.43,-0.0207
Germany,2024-04,2.08,0.7492,1.945,39436.5,1039.3,2.6,-0.0158
Germany,2012-07,13.83,0.1469,0.5775,41842.0,-1764.6,-3.93,-0.0148
Germany,2014-12,11.42,0.2054,0.7016,47165.8,1498.2,3.42,-0.0136
Germany,2018-01,8.33,0.315,0.8639,46904.5,-1210.7,-2.74,-0.0086
Germany,2014-07,11.83,0.1939,0.3253,43159.7,733.4,1.68,-0.0074
Germany,2018-02,8.25,0.3186,1.1215,43560.8,-1553.7,-3.52,-0.0054
Germany,2011-07,14.83,0.1279,0.4118,42413.4,-1453.8,-3.22,-0.005
Germany,2015-05,11.0,0.2176,0.8195,40373.7,-1657.1,-3.77,-0.0045
Germany,2020-10,5.58,0.4612,1.6443,43156.9,1463.7,3.57,-0.0015
Germany,2022-02,4.25,0.5548,1.93,41615.1,-1465.0,-3.48,-0.0011
Germany,2013-05,13.0,0.1649,0.311,41888.0,-843.1,-1.89,-0.001
Estonia,2012-02,14.25,0.1387,2.2843,766.2,99.2,16.47,-0.2364
Estonia,2017-11,8.5,0.3078,3.1372,631.2,-67.3,-10.19,-0.2033
Estonia,2022-02,4.25,0.5548,5.9389,642.4,-69.3,-10.7,-0.1961
Estonia,2018-08,7.75,0.3415,4.5023,702.2,91.6,13.18,-0.1917
Estonia,2021-12,4.42,0.5421,7.4925,853.1,90.1,13.82,-0.1863
Estonia,2022-01,4.33,0.5484,3.2604,755.8,-38.6,-5.95,-0.1672
Estonia,2019-12,6.42,0.4108,3.2262,745.1,-54.0,-7.85,-0.1639
Estonia,2018-06,7.92,0.3337,3.4055,648.2,69.9,10.2,-0.1496
Estonia,2016-01,10.33,0.2387,2.0701,829.4,54.6,8.67,-0.1329
Estonia,2018-09,7.67,0.3455,1.0532,601.9,-21.2,-3.05,-0.1024
Estonia,2012-03,14.17,0.1403,0.2512,696.5,10.8,1.79,-0.0925
Estonia,2010-12,15.42,0.118,1.1804,782.1,61.0,10.0,-0.0911
Estonia,2023-01,3.33,0.63,4.9041,686.6,-45.8,-7.78,-0.0828
Estonia,2024-01,2.33,0.7236,6.7541,800.2,56.0,9.33,-0.0722
Estonia,2020-12,5.42,0.4719,3.3689,872.3,50.7,7.14,-0.0578
Estonia,2016-11,9.5,0.2679,2.1086,726.2,50.2,7.87,-0.0509
Estonia,2015-12,10.42,0.236,1.6294,698.1,-43.5,-6.91,-0.0493
Estonia,2024-03,2.17,0.7405,4.6622,645.1,-37.9,-6.3,-0.0438
Estonia,2018-03,8.17,0.3223,1.9288,800.1,40.6,5.98,-0.0408
Estonia,2020-01,6.33,0.4156,2.1895,796.9,-36.3,-5.27,-0.0371
Estonia,2014-01,12.33,0.1809,1.2509,795.4,42.1,6.91,-0.0361
Estonia,2018-07,7.83,0.3376,0.3814,570.2,-7.8,-1.13,-0.0313
Estonia,2022-03,4.17,0.5612,2.4482,697.1,-28.1,-4.36,-0.0268
Estonia,2017-12,8.42,0.3114,1.187,746.9,-25.2,-3.81,-0.0131
Estonia,2019-11,6.5,0.4061,2.6048,770.6,44.1,6.41,-0.013
Estonia,2011-02,15.25,0.1207,0.7979,715.2,40.3,6.61,-0.0108
Estonia,2016-12,9.42,0.2711,0.9546,728.6,-22.5,-3.52,-0.0104
Estonia,2011-06,14.92,0.1265,0.7784,462.0,-37.3,-6.16,-0.0094
Estonia,2024-02,2.25,0.732,2.3194,684.8,19.0,3.17,-0.0092
Estonia,2011-01,15.33,0.1194,0.0899,759.6,4.6,0.75,-0.0087
Estonia,2013-03,13.17,0.1612,0.8204,730.9,31.5,5.09,-0.002
Estonia,2013-05,13.0,0.1649,0.8186,533.8,-30.7,-4.96,-0.0013
Ireland,2018-03,8.17,0.3223,3.9888,2787.4,287.1,12.37,-0.2521
Ireland,2019-01,7.33,0.3618,3.4696,2763.7,217.8,9.59,-0.2125
Ireland,2018-10,7.58,0.3495,2.6915,2112.5,-176.5,-7.7,-0.1796
Ireland,2019-11,6.5,0.4061,3.313,2611.4,189.9,8.16,-0.157
Ireland,2010-12,15.42,0.118,1.113,2534.9,198.1,9.43,-0.1491
Ireland,2020-04,6.08,0.4303,3.0541,2134.4,-167.7,-7.1,-0.1487
Ireland,2018-11,7.5,0.3536,2.3698,2212.5,-152.2,-6.7,-0.1319
Ireland,2018-04,8.08,0.3261,0.7291,2318.2,52.0,2.24,-0.1296
Ireland,2020-08,5.75,0.4506,3.1174,2386.0,164.8,6.92,-0.1249
Ireland,2020-05,6.0,0.4353,2.6852,2119.5,-146.5,-6.17,-0.1247
Ireland,2021-02,5.25,0.483,2.8702,2672.7,146.6,5.94,-0.1221
Ireland,2020-09,5.67,0.4559,2.0517,2339.7,108.1,4.5,-0.0778
Ireland,2021-03,5.17,0.4886,1.1848,2584.7,-59.8,-2.42,-0.0762
Ireland,2012-03,14.17,0.1403,0.7517,2114.9,-109.5,-5.36,-0.0621
Ireland,2023-05,3.0,0.6598,3.1488,2363.2,-123.9,-4.77,-0.0603
Ireland,2012-12,13.42,0.1557,0.8299,2187.8,-109.9,-5.33,-0.0594
Ireland,2020-07,5.83,0.4454,2.6892,2379.9,143.2,6.04,-0.0589
Ireland,2020-01,6.33,0.4156,1.8545,2493.8,-103.6,-4.46,-0.0574
Ireland,2016-04,10.08,0.2471,1.4965,2242.2,131.5,6.06,-0.0529
Ireland,2021-11,4.5,0.5359,1.9772,2477.2,-91.3,-3.69,-0.0485
Ireland,2019-02,7.25,0.366,0.7956,2382.5,49.4,2.17,-0.0456
Ireland,2011-01,15.33,0.1194,0.3991,2443.1,70.1,3.34,-0.0396
Ireland,2024-06,1.92,0.7667,2.8185,2406.2,-99.7,-3.68,-0.0324
Ireland,2019-12,6.42,0.4108,1.2685,2632.8,71.8,3.09,-0.0303
Ireland,2018-12,7.42,0.3577,0.9386,2443.1,-59.5,-2.62,-0.0264
Ireland,2013-01,13.33,0.1575,0.6586,2247.6,-86.1,-4.18,-0.0232
Ireland,2016-09,9.67,0.2618,1.153,1940.9,-97.2,-4.4,-0.0116
Ireland,2019-06,6.92,0.3833,1.709,2212.6,103.2,4.46,-0.0087
Ireland,2016-12,9.42,0.2711,1.2167,2351.8,-99.4,-4.49,-0.0062
Ireland,2017-01,9.33,0.2742,0.8392,2559.5,67.8,3.06,-0.0051
Ireland,2020-06,5.92,0.4403,0.3714,2190.0,20.0,0.84,-0.0039
Greece,2024-06,1.92,0.7667,14.1164,5072.3,777.4,18.41,-0.2818
Greece,2025-08,0.75,0.9013,10.871,4247.4,-478.8,-12.06,-0.2523
Greece,2024-07,1.83,0.7756,12.4382,5998.5,678.8,16.04,-0.2211
Greece,2023-07,2.83,0.6752,8.7908,5615.9,521.8,13.02,-0.1701
Greece,2010-12,15.42,0.118,1.2463,4266.6,-485.1,-10.56,-0.1095
Greece,2020-06,5.92,0.4403,4.868,3715.8,-452.8,-11.06,-0.1033
Greece,2024-08,1.75,0.7846,5.4828,5278.4,295.3,6.99,-0.101
Greece,2016-12,9.42,0.2711,2.7351,5309.7,472.1,10.09,-0.0909
Greece,2025-07,0.83,0.8909,9.9117,5483.5,440.2,11.13,-0.0841
Greece,2011-11,14.5,0.134,1.133,4404.4,376.0,8.46,-0.0828
Greece,2011-07,14.83,0.1279,0.6882,5802.2,240.7,5.38,-0.0823
Greece,2017-01,9.33,0.2742,2.5659,5469.6,437.3,9.36,-0.077
Greece,2011-08,14.75,0.1294,0.7778,4983.4,-270.3,-6.01,-0.073
Greece,2020-07,5.83,0.4454,3.2138,4876.5,-294.7,-7.21,-0.0701
Greece,2023-01,3.33,0.63,6.3015,3916.8,-395.4,-10.0,-0.0681
Greece,2025-01,1.33,0.8312,7.3231,4154.4,-366.6,-8.81,-0.066
Greece,2011-06,14.92,0.1265,1.2394,4073.6,-434.8,-9.8,-0.0642
Greece,2019-07,6.83,0.3878,3.3902,5029.2,-377.7,-8.74,-0.0551
Greece,2013-07,12.83,0.1688,1.617,4889.1,-402.8,-9.58,-0.0469
Greece,2023-08,2.75,0.683,4.4354,5049.3,261.7,6.49,-0.0446
Greece,2022-03,4.17,0.5612,4.9474,4388.1,368.8,8.82,-0.0401
Greece,2015-06,10.92,0.2202,1.7487,4087.6,-346.4,-7.94,-0.035
Greece,2018-07,7.83,0.3376,3.0077,4971.5,-380.0,-8.91,-0.0297
Greece,2021-08,4.75,0.5176,4.7365,5403.5,389.5,9.15,-0.029
Greece,2025-03,1.17,0.8507,5.4294,3623.0,-258.2,-6.38,-0.0254
Greece,2025-06,0.92,0.8807,7.1293,4357.9,320.9,8.1,-0.0248
Greece,2017-02,9.25,0.2774,0.3785,4420.6,-63.6,-1.36,-0.0215
Greece,2024-12,1.42,0.8217,7.0384,4001.1,-359.9,-8.57,-0.0164
Greece,2023-12,2.42,0.7153,6.1039,3865.1,-345.7,-8.53,-0.0149
Greece,2025-02,1.25,0.8409,3.121,4087.8,152.6,3.71,-0.0101
Greece,2013-12,12.42,0.1788,1.5086,4735.2,356.0,8.44,-0.0085
Greece,2011-01,15.33,0.1194,0.2227,4817.2,-84.7,-1.87,-0.0048
Greece,2020-01,6.33,0.4156,3.4184,4896.9,344.8,8.22,-0.0034
Greece,2020-02,6.25,0.4204,2.8554,4261.0,282.1,6.79,-0.0033
Greece,2011-10,14.58,0.1324,0.8416,3771.6,-284.2,-6.35,-0.0007
Spain,2012-02,14.25,0.1387,1.243,22138.0,1845.2,8.96,-0.2995
Spain,2020-04,6.08,0.4303,4.1886,15509.0,-1866.2,-9.73,-0.2542
Spain,2025-06,0.92,0.8807,6.0754,21399.1,1405.6,6.9,-0.1924
Spain,2020-05,6.0,0.4353,3.1559,16634.2,-1385.0,-7.25,-0.1704
Spain,2011-04,15.08,0.1236,0.6219,18019.9,-1050.1,-5.03,-0.1405
Spain,2012-07,13.83,0.1469,0.9942,20706.6,-1381.1,-6.77,-0.1347
Spain,2015-07,10.83,0.2227,1.3335,22761.4,1191.1,5.99,-0.1187
Spain,2013-06,12.92,0.1669,1.0988,17991.2,-1295.2,-6.59,-0.1111
Spain,2021-02,5.25,0.483,2.1287,18340.8,-859.3,-4.41,-0.1047
Spain,2022-12,3.42,0.6227,3.7752,18643.3,-1162.7,-6.06,-0.0947
Spain,2012-03,14.17,0.1403,0.156,21132.7,228.3,1.11,-0.091
