Country,Months_analyzed,N_anomalies,Pct_anomalous_months,Average_intensity_pct_trend,N_anomalies_recency_weighted,Average_intensity_recency_severity_weighted
Lithuania,185,24,12.97,13.71,189.45,16.13
Cyprus,125,19,15.2,10.16,111.28,12.35
Croatia,125,15,12.0,9.88,49.87,11.78
Greece,185,35,18.92,8.64,155.63,10.52
Sweden,185,26,14.05,8.91,74.53,10.45
Malta,125,22,17.6,7.84,87.99,9.54
Portugal,185,31,16.76,7.34,50.48,8.7
France,185,24,12.97,8.16,62.57,8.59
Estonia,185,32,17.3,6.92,79.8,8.58
Romania,125,19,15.2,5.95,50.89,7.78
Bulgaria,125,26,20.8,6.13,84.44,7.61
Finland,185,35,18.92,5.7,79.5,7.54
Netherlands,185,25,13.51,6.0,53.47,7.47
Luxembourg,185,26,14.05,5.33,40.01,6.91
Denmark,185,24,12.97,5.89,63.46,6.66
Latvia,185,21,11.35,5.84,31.87,6.55
Slovenia,185,27,14.59,4.84,66.21,6.31
Ireland,185,31,16.76,5.2,57.55,6.17
Spain,185,30,16.22,4.62,51.89,5.66
Italy,185,27,14.59,4.45,50.05,5.64
Czech Republic,185,20,10.81,5.05,34.82,5.53
Slovak Republic,185,40,21.62,4.55,74.94,5.36
Austria,185,26,14.05,4.23,43.88,5.12
Germany,185,31,16.76,4.02,38.23,4.68
Belgium,185,23,12.43,4.08,44.18,4.6
Hungary,185,28,15.14,3.77,48.46,4.42
Poland,185,33,17.84,3.38,51.95,4.05
EU27,125,23,18.4,2.94,32.18,3.67
