Country,Year,Exposure_pct,Pct_anomalous_months,Average_intensity_recency_weighted,KPI_level,KPI_label,EU_exposure_threshold,Median_instability_threshold,Quadrant
Ireland,2026,14.33,16.76,5.05,2.0,"Medium (partial, 2/3 factors: turnover missing)",2.56,5.63,High exposure / Low instability
Luxembourg,2026,9.84,14.05,5.63,2.0,"Medium (partial, 2/3 factors: turnover missing)",2.56,5.63,High exposure / High instability
Netherlands,2026,8.35,13.51,5.95,1.0,Low,2.56,5.63,High exposure / High instability
Portugal,2026,4.34,16.76,6.83,1.0,Low,2.56,5.63,High exposure / High instability
Germany,2026,3.94,16.76,4.1,3.0,High,2.56,5.63,High exposure / Low instability
Latvia,2026,2.86,11.35,5.22,3.0,High,2.56,5.63,High exposure / Low instability
Finland,2026,2.15,18.92,6.09,1.0,Low,2.56,5.63,Low exposure / High instability
Denmark,2026,2.11,12.97,5.88,1.0,Low,2.56,5.63,Low exposure / High instability
Estonia,2026,2.1,17.3,7.05,1.0,Low,2.56,5.63,Low exposure / High instability
France,2026,1.81,12.97,7.72,1.0,Low,2.56,5.63,Low exposure / High instability
Italy,2026,1.72,14.59,4.5,1.0,Low,2.56,5.63,Low exposure / Low instability
Sweden,2026,1.69,14.05,8.77,1.0,Low,2.56,5.63,Low exposure / High instability
Poland,2026,1.58,17.84,3.32,3.0,High,2.56,5.63,Low exposure / Low instability
Spain,2026,1.51,16.22,4.77,1.0,Low,2.56,5.63,Low exposure / Low instability
Belgium,2026,1.28,12.43,4.08,2.0,Medium,2.56,5.63,Low exposure / Low instability
Czech Republic,2026,1.25,10.81,4.76,,,2.56,5.63,Low exposure / Low instability
Austria,2026,1.03,14.05,4.24,3.0,High,2.56,5.63,Low exposure / Low instability
Croatia,2026,0.9,12.0,9.39,2.0,Medium,2.56,5.63,Low exposure / High instability
Greece,2026,0.9,18.92,9.24,1.0,Low,2.56,5.63,Low exposure / High instability
Bulgaria,2026,0.88,20.8,6.23,,N/A (not enough data even for a partial estimate),2.56,5.63,Low exposure / High instability
Lithuania,2026,0.7,12.97,13.44,2.0,Medium,2.56,5.63,Low exposure / High instability
Romania,2026,0.67,15.2,6.24,1.0,Low,2.56,5.63,Low exposure / High instability
Slovakia,2026,0.59,21.62,4.74,1.0,Low,2.56,5.63,Low exposure / Low instability
Slovenia,2026,0.55,14.59,5.01,1.0,Low,2.56,5.63,Low exposure / Low instability
Hungary,2026,0.35,15.14,3.71,2.0,Medium,2.56,5.63,Low exposure / Low instability
Ireland,2028,14.5,16.76,5.05,2.0,"Medium (partial, 2/3 factors: turnover missing)",3.36,5.63,High exposure / Low instability
Portugal,2028,10.61,16.76,6.83,1.0,Low,3.36,5.63,High exposure / High instability
Netherlands,2028,7.7,13.51,5.95,1.0,Low,3.36,5.63,High exposure / High instability
Luxembourg,2028,7.23,14.05,5.63,2.0,"Medium (partial, 2/3 factors: turnover missing)",3.36,5.63,High exposure / High instability
Germany,2028,4.88,16.76,4.1,3.0,High,3.36,5.63,High exposure / Low instability
Denmark,2028,4.06,12.97,5.88,1.0,Low,3.36,5.63,High exposure / High instability
Latvia,2028,3.63,11.35,5.22,3.0,High,3.36,5.63,High exposure / Low instability
Finland,2028,3.57,18.92,6.09,1.0,Low,3.36,5.63,High exposure / High instability
Italy,2028,2.84,14.59,4.5,1.0,Low,3.36,5.63,Low exposure / Low instability
Sweden,2028,2.79,14.05,8.77,1.0,Low,3.36,5.63,Low exposure / High instability
Spain,2028,2.56,16.22,4.77,1.0,Low,3.36,5.63,Low exposure / Low instability
Croatia,2028,2.42,12.0,9.39,2.0,Medium,3.36,5.63,Low exposure / High instability
